;rich_coeff;rich_pvalue;ab_coeff;ab_pvalue
quiet;0.8264973835942271;0.011417276961678916;0.49623616181618657;0.39515763399054477
ambient_sound;0.9514666524819514;0.00027549692145581933;0.9792904957635751;0.003566438137945523
rain_pw01;0.9425642108772534;0.000453512611517853;0.887448735247659;0.044554146366621736
rain_pw02;0.42486280980449986;0.2940550831728549;0.6436877060567644;0.24120402864461674
rain_pw03;-0.007830510219457132;0.9853183935056478;-0.5597073572074184;0.3265475101554712
wind_pw01;0.9452624307546655;0.00039336394389171434;0.9905326885604305;0.0011042213805410055
wind_pw02;0.9757197552964367;3.513636459358173e-05;0.9668443660060226;0.007211043404580657
wind_pw03;0.9589396413814426;0.0001677787882602796;0.9523011426809496;0.012415490842870518
aircraft_pw01;0.9597860885408731;0.00015771662314274063;0.9774763622804892;0.004044072340060206
aircraft_pw02;0.9512016621642392;0.00027997760254003365;0.9930242811506536;0.0006986543395684907
tettigonia_veridissima;0.9611995390662453;0.0001418162542991323;0.9360900251308637;0.019207864784505434
