;rich_coeff;rich_pvalue;ab_coeff;ab_pvalue
quiet;0.9696653780616407;6.820596447898403e-05;0.9723127580305628;0.0055073348380371215
ambient_sound;0.9757890818647076;3.483807892603943e-05;0.9869136513546481;0.001793524235153524
rain_pw01;0.9764148296181001;3.222129655811339e-05;0.9766369179464192;0.004271704640553774
rain_pw02;0.9224122411106369;0.0011007754628569514;0.916960761389632;0.02836443354010461
rain_pw03;0.7108316957497002;0.048097572331232644;0.21913389366807545;0.7232394214855692
wind_pw01;0.9760770561181928;3.3616994342173186e-05;0.9929683156811416;0.0007070730784973999
wind_pw02;0.9858689341817684;6.979921951179224e-06;0.9871302052341046;0.0017492469254225857
wind_pw03;0.9644265550756779;0.00010956152808756163;0.9622542925817648;0.008753080347043389
aircraft_pw01;0.9812295201026275;1.6301667698468823e-05;0.9848675815115768;0.002229503323124971
aircraft_pw02;0.9702643205143544;6.427429979979082e-05;0.9949491101870915;0.00043058251438977485
tettigonia_veridissima;0.9798019607613621;2.0289220654321558e-05;0.9622623810482148;0.008750277722534526
