;rich_coeff;rich_pvalue;ab_coeff;ab_pvalue
quiet;0.923009884372064;0.0010760293015069375;0.986369679933343;0.0019063516203456693
ambient_sound;-0.898599524219917;0.002412307312185557;-0.9791579636236891;0.0036006563416934013
rain_pw01;0.6705923133208549;0.06873724631079112;0.5402782384546467;0.347207197849883
rain_pw02;0.7830595963346024;0.021551921275928684;0.2289726355742128;0.7110308778883119
rain_pw03;0.6260026303755027;0.0968413399467572;0.794844704217434;0.10804882039209342
wind_pw01;-0.7399248299356616;0.03584610507848464;-0.798207618341607;0.10546003871229641
wind_pw02;0.8246952841868429;0.01175981055334383;0.6412718460997121;0.24356114971471912
wind_pw03;0.9363074391237767;0.0006154966693746003;0.8110981869207323;0.09571556661695328
aircraft_pw01;0.9425515386579038;0.000453808455600798;0.7669641692439648;0.13021831841915052
aircraft_pw02;0.5755160488509803;0.13550796919370173;0.624347657916582;0.2602457922325392
tettigonia_veridissima;-0.9608861185611439;0.00014524614136418126;-0.9020331598705056;0.0362631408034375
