;rich_coeff;rich_pvalue;ab_coeff;ab_pvalue
quiet;0.736840934662173;0.0370420913538619;0.8265277558915377;0.08443887243401564
ambient_sound;0.9600285802795123;0.00015490924848594553;0.9910880978828261;0.0010085746748878536
rain_pw01;0.9779662595927878;2.6302682376090183e-05;0.9908260774937424;0.0010533384270449589
rain_pw02;0.8134243808546049;0.014049675544045591;0.7268565413123005;0.1641621219335965
rain_pw03;0.7364157744869668;0.03720885665729078;0.583071516632311;0.302135032970435
wind_pw01;0.9779628078279712;2.631497724665067e-05;0.9854592154169127;0.002100226337453963
wind_pw02;0.9910518658780573;1.7791734823573388e-06;0.9918119156978801;0.0008883276714386583
wind_pw03;0.9678422369453782;8.114536012458328e-05;0.9465771000289408;0.014703269776820268
aircraft_pw01;0.9895553062520597;2.8263038687674487e-06;0.980848568508027;0.003172372468756596
aircraft_pw02;0.9404414529851244;0.0005048565798543854;0.9677783428640593;0.006909480839011064
tettigonia_veridissima;0.9484470556170821;0.0003294241078390524;0.9259966929827295;0.0238962648470188
