;rich_coeff;rich_pvalue;ab_coeff;ab_pvalue
quiet;0.8231155645378745;0.012065358727929089;0.9293378929898453;0.022307770772454775
ambient_sound;0.9578467527384027;0.00018138472726477147;0.9904524992978436;0.0011182668842326976
rain_pw01;0.982138194772037;1.4056585493312432e-05;0.9910927368888502;0.0010077879747530784
rain_pw02;0.8051059827926098;0.015907248819501875;0.7637069878561737;0.13288756199430843
rain_pw03;0.7772084996840135;0.023232555788976532;0.2534820470891989;0.6807469467343303
wind_pw01;0.9534000047244098;0.00024422718641859613;0.9844371001622323;0.0023251619489621476
wind_pw02;0.980279802401658;1.8889838930272986e-05;0.9903978372222378;0.0011278749195538765
wind_pw03;0.953366301299143;0.00024475119210146264;0.9587150519845407;0.010007223006955092
aircraft_pw01;0.9691750924131702;7.154026125647984e-05;0.9860683616672289;0.0019698243232082863
aircraft_pw02;0.9414156451730171;0.0004808445463191094;0.9925518719606271;0.0007707592782943808
tettigonia_veridissima;0.9744572319474083;4.086831020757985e-05;0.9614790847825939;0.009023048984808041
