filename;fullfilename;sample_id;channel2;richness;abundance;erirub;fricoe;perate;phycol;regreg;sylatr;turmer;turphi
evascape_quiet_rich1_ab1_n1;Database_20240315_Desync/evascape_quiet_rich1_ab1_n1.wav;1;quiet;1;1;0;0;0;0;1;0;0;0
evascape_quiet_rich1_ab1_n2;Database_20240315_Desync/evascape_quiet_rich1_ab1_n2.wav;2;quiet;1;1;0;0;1;0;0;0;0;0
evascape_quiet_rich1_ab1_n3;Database_20240315_Desync/evascape_quiet_rich1_ab1_n3.wav;3;quiet;1;1;1;0;0;0;0;0;0;0
evascape_quiet_rich1_ab1_n4;Database_20240315_Desync/evascape_quiet_rich1_ab1_n4.wav;4;quiet;1;1;0;0;0;0;0;1;0;0
evascape_quiet_rich1_ab1_n5;Database_20240315_Desync/evascape_quiet_rich1_ab1_n5.wav;5;quiet;1;1;0;0;0;0;0;0;0;1
evascape_quiet_rich1_ab1_n6;Database_20240315_Desync/evascape_quiet_rich1_ab1_n6.wav;6;quiet;1;1;0;0;0;1;0;0;0;0
evascape_quiet_rich1_ab1_n7;Database_20240315_Desync/evascape_quiet_rich1_ab1_n7.wav;7;quiet;1;1;0;0;0;0;0;0;1;0
evascape_quiet_rich1_ab1_n8;Database_20240315_Desync/evascape_quiet_rich1_ab1_n8.wav;8;quiet;1;1;0;1;0;0;0;0;0;0
evascape_quiet_rich1_ab1_n9;Database_20240315_Desync/evascape_quiet_rich1_ab1_n9.wav;9;quiet;1;1;0;0;0;0;1;0;0;0
evascape_quiet_rich1_ab1_n10;Database_20240315_Desync/evascape_quiet_rich1_ab1_n10.wav;10;quiet;1;1;0;0;0;1;0;0;0;0
evascape_ambient_sound_rich1_ab1_n1;Database_20240315_Desync/evascape_ambient_sound_rich1_ab1_n1.wav;1;ambient_sound;1;1;0;0;0;0;0;0;1;0
evascape_ambient_sound_rich1_ab1_n2;Database_20240315_Desync/evascape_ambient_sound_rich1_ab1_n2.wav;2;ambient_sound;1;1;0;0;1;0;0;0;0;0
evascape_ambient_sound_rich1_ab1_n3;Database_20240315_Desync/evascape_ambient_sound_rich1_ab1_n3.wav;3;ambient_sound;1;1;0;0;0;0;0;0;0;1
evascape_ambient_sound_rich1_ab1_n4;Database_20240315_Desync/evascape_ambient_sound_rich1_ab1_n4.wav;4;ambient_sound;1;1;0;0;0;0;1;0;0;0
evascape_ambient_sound_rich1_ab1_n5;Database_20240315_Desync/evascape_ambient_sound_rich1_ab1_n5.wav;5;ambient_sound;1;1;0;0;0;1;0;0;0;0
evascape_ambient_sound_rich1_ab1_n6;Database_20240315_Desync/evascape_ambient_sound_rich1_ab1_n6.wav;6;ambient_sound;1;1;1;0;0;0;0;0;0;0
evascape_ambient_sound_rich1_ab1_n7;Database_20240315_Desync/evascape_ambient_sound_rich1_ab1_n7.wav;7;ambient_sound;1;1;0;0;0;0;0;1;0;0
evascape_ambient_sound_rich1_ab1_n8;Database_20240315_Desync/evascape_ambient_sound_rich1_ab1_n8.wav;8;ambient_sound;1;1;0;1;0;0;0;0;0;0
evascape_ambient_sound_rich1_ab1_n9;Database_20240315_Desync/evascape_ambient_sound_rich1_ab1_n9.wav;9;ambient_sound;1;1;0;0;0;0;0;0;1;0
evascape_ambient_sound_rich1_ab1_n10;Database_20240315_Desync/evascape_ambient_sound_rich1_ab1_n10.wav;10;ambient_sound;1;1;0;0;1;0;0;0;0;0
evascape_rain_pw01_rich1_ab1_n1;Database_20240315_Desync/evascape_rain_pw01_rich1_ab1_n1.wav;1;rain_pw01;1;1;0;0;0;0;0;1;0;0
evascape_rain_pw01_rich1_ab1_n2;Database_20240315_Desync/evascape_rain_pw01_rich1_ab1_n2.wav;2;rain_pw01;1;1;0;1;0;0;0;0;0;0
evascape_rain_pw01_rich1_ab1_n3;Database_20240315_Desync/evascape_rain_pw01_rich1_ab1_n3.wav;3;rain_pw01;1;1;0;0;1;0;0;0;0;0
evascape_rain_pw01_rich1_ab1_n4;Database_20240315_Desync/evascape_rain_pw01_rich1_ab1_n4.wav;4;rain_pw01;1;1;0;0;0;0;1;0;0;0
evascape_rain_pw01_rich1_ab1_n5;Database_20240315_Desync/evascape_rain_pw01_rich1_ab1_n5.wav;5;rain_pw01;1;1;0;0;0;0;0;0;1;0
evascape_rain_pw01_rich1_ab1_n6;Database_20240315_Desync/evascape_rain_pw01_rich1_ab1_n6.wav;6;rain_pw01;1;1;0;0;0;0;0;0;0;1
evascape_rain_pw01_rich1_ab1_n7;Database_20240315_Desync/evascape_rain_pw01_rich1_ab1_n7.wav;7;rain_pw01;1;1;1;0;0;0;0;0;0;0
evascape_rain_pw01_rich1_ab1_n8;Database_20240315_Desync/evascape_rain_pw01_rich1_ab1_n8.wav;8;rain_pw01;1;1;0;0;0;1;0;0;0;0
evascape_rain_pw01_rich1_ab1_n9;Database_20240315_Desync/evascape_rain_pw01_rich1_ab1_n9.wav;9;rain_pw01;1;1;0;0;0;1;0;0;0;0
evascape_rain_pw01_rich1_ab1_n10;Database_20240315_Desync/evascape_rain_pw01_rich1_ab1_n10.wav;10;rain_pw01;1;1;0;0;1;0;0;0;0;0
evascape_rain_pw02_rich1_ab1_n1;Database_20240315_Desync/evascape_rain_pw02_rich1_ab1_n1.wav;1;rain_pw02;1;1;0;0;0;0;0;0;0;1
evascape_rain_pw02_rich1_ab1_n2;Database_20240315_Desync/evascape_rain_pw02_rich1_ab1_n2.wav;2;rain_pw02;1;1;0;0;0;0;1;0;0;0
evascape_rain_pw02_rich1_ab1_n3;Database_20240315_Desync/evascape_rain_pw02_rich1_ab1_n3.wav;3;rain_pw02;1;1;0;0;0;1;0;0;0;0
