;filename;fullfilename;sample_id;channel2;richness;abundance;erirub;fricoe;perate;phycol;regreg;sylatr;turmer;turphi;nROI;aROI;ACI;H;NDSI;ADI;BI
0;evascape_quiet_rich1_ab1_n1;Database_20240315_Desync/evascape_quiet_rich1_ab1_n1.wav;1;quiet;1;1;0;0;0;0;1;0;0;0;47.01791158536585;1.3944465616531165;411.7021;0.627616664832107;0.81077045;0.9817744755945391;43.59517573696145
1;evascape_quiet_rich1_ab1_n2;Database_20240315_Desync/evascape_quiet_rich1_ab1_n2.wav;2;quiet;1;1;0;0;1;0;0;0;0;0;132.0503048780488;0.7936886009485096;442.53558;0.7725208402213319;0.6404591;1.2903864900075321;23.47828514739229
2;evascape_quiet_rich1_ab1_n3;Database_20240315_Desync/evascape_quiet_rich1_ab1_n3.wav;3;quiet;1;1;1;0;0;0;0;0;0;0;41.015625;1.88378641598916;382.4572;0.6503691450107406;0.8623487;1.3995401663656137;57.134926303854876
3;evascape_quiet_rich1_ab1_n4;Database_20240315_Desync/evascape_quiet_rich1_ab1_n4.wav;4;quiet;1;1;0;0;0;0;0;1;0;0;62.02362804878049;1.0487744386372435;383.29187;0.6693501701685184;0.7530363;1.0189631275756001;35.61969387755102
4;evascape_quiet_rich1_ab1_n5;Database_20240315_Desync/evascape_quiet_rich1_ab1_n5.wav;5;quiet;1;1;0;0;0;0;0;0;0;1;115.0438262195122;3.4106719415408437;410.4911;0.6522731840212542;0.91459745;1.9134601030765415;110.79383219954649
5;evascape_quiet_rich1_ab1_n6;Database_20240315_Desync/evascape_quiet_rich1_ab1_n6.wav;6;quiet;1;1;0;0;0;1;0;0;0;0;51.01943597560975;0.6464291763453349;485.47537;0.6986407918295935;0.60767585;1.6846101427419384;28.15578798185941
6;evascape_quiet_rich1_ab1_n7;Database_20240315_Desync/evascape_quiet_rich1_ab1_n7.wav;7;quiet;1;1;0;0;0;0;0;0;1;0;102.0388719512195;2.3085135985288425;367.19846;0.6497248918776138;0.5521048;1.1671822101973144;49.43111678004535
7;evascape_quiet_rich1_ab1_n8;Database_20240315_Desync/evascape_quiet_rich1_ab1_n8.wav;8;quiet;1;1;0;1;0;0;0;0;0;0;28.010670731707318;1.7743720963995353;423.94916;0.6609415126444609;0.79651123;1.3227847378105326;47.49431972789116
8;evascape_quiet_rich1_ab1_n9;Database_20240315_Desync/evascape_quiet_rich1_ab1_n9.wav;9;quiet;1;1;0;0;0;0;1;0;0;0;168.0640243902439;1.2112323969221834;374.4497;0.6622578340783032;0.8216659;1.1471615149348338;42.460229591836736
9;evascape_quiet_rich1_ab1_n10;Database_20240315_Desync/evascape_quiet_rich1_ab1_n10.wav;10;quiet;1;1;0;0;0;1;0;0;0;0;51.01943597560975;0.5518353174603174;454.52606;0.6105934537691238;0.60871583;1.3862746805887816;33.91172052154195
10;evascape_ambient_sound_rich1_ab1_n1;Database_20240315_Desync/evascape_ambient_sound_rich1_ab1_n1.wav;1;ambient_sound;1;1;0;0;0;0;0;0;1;0;32.01219512195122;0.07168263646922184;297.44345;0.9129293011277728;0.25572443;0.49754632411317723;25.58549319727891
11;evascape_ambient_sound_rich1_ab1_n2;Database_20240315_Desync/evascape_ambient_sound_rich1_ab1_n2.wav;2;ambient_sound;1;1;0;0;1;0;0;0;0;0;45.0171493902439;0.14431045538133952;300.40643;0.8763987105901865;0.14451519;0.4429752728447593;26.06062358276644
