filename,fullfilename,sample_id,channel2,richness,abundance,erirub,fricoe,perate,phycol,regreg,sylatr,turmer,turphi
Evascape_no_background_rich1_ab1_n1,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n1.wav,1,no_background,1,1,0,0,0,0,0,0,0,1
Evascape_no_background_rich1_ab1_n2,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n2.wav,2,no_background,1,1,0,1,0,0,0,0,0,0
Evascape_no_background_rich1_ab1_n3,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n3.wav,3,no_background,1,1,0,0,0,0,0,0,1,0
Evascape_no_background_rich1_ab1_n4,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n4.wav,4,no_background,1,1,0,0,0,0,0,1,0,0
Evascape_no_background_rich1_ab1_n5,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n5.wav,5,no_background,1,1,0,0,0,1,0,0,0,0
Evascape_no_background_rich1_ab1_n6,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n6.wav,6,no_background,1,1,1,0,0,0,0,0,0,0
Evascape_no_background_rich1_ab1_n7,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n7.wav,7,no_background,1,1,0,0,0,0,1,0,0,0
Evascape_no_background_rich1_ab1_n8,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n8.wav,8,no_background,1,1,0,0,1,0,0,0,0,0
Evascape_no_background_rich1_ab1_n9,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n9.wav,9,no_background,1,1,0,0,0,1,0,0,0,0
Evascape_no_background_rich1_ab1_n10,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n10.wav,10,no_background,1,1,0,0,0,0,0,0,1,0
Evascape_no_background_rich1_ab1_n11,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n11.wav,11,no_background,1,1,0,0,0,0,0,0,0,1
Evascape_no_background_rich1_ab1_n12,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n12.wav,12,no_background,1,1,0,0,0,0,1,0,0,0
Evascape_no_background_rich1_ab1_n13,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n13.wav,13,no_background,1,1,0,0,1,0,0,0,0,0
Evascape_no_background_rich1_ab1_n14,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n14.wav,14,no_background,1,1,0,1,0,0,0,0,0,0
Evascape_no_background_rich1_ab1_n15,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n15.wav,15,no_background,1,1,1,0,0,0,0,0,0,0
Evascape_no_background_rich1_ab1_n16,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n16.wav,16,no_background,1,1,0,0,0,0,0,1,0,0
Evascape_no_background_rich1_ab1_n17,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n17.wav,17,no_background,1,1,0,0,0,0,0,1,0,0
Evascape_no_background_rich1_ab1_n18,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n18.wav,18,no_background,1,1,0,0,0,0,1,0,0,0
Evascape_no_background_rich1_ab1_n19,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n19.wav,19,no_background,1,1,1,0,0,0,0,0,0,0
Evascape_no_background_rich1_ab1_n20,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n20.wav,20,no_background,1,1,0,0,1,0,0,0,0,0
Evascape_no_background_rich1_ab1_n21,../Evascape_reconstructed_soundscapes/Database_20240923_Desync/Evascape_no_background_rich1_ab1_n21.wav,21,no_background,1,1,0,0,0,0,0,0,0,1
